date,total,drawdown,unallocated_cash,invested_total,应急现金/灵活资金,固收/债券,A股宽基,A股红利,美股宽基,黄金,主题仓
2023-12-29,508289.92309830384,-0.01379649437232744,263322.19448306895,208678.10288947498,36289.625725759885,86148.42302173648,61839.294399650906,30262.2803738756,10734.137417676371,16385.913083048275,3308.054593487343
2024-01-31,506139.16694886354,-0.01796947352839484,253654.72932526222,216147.26005579473,36337.17756780661,89056.6086320015,62270.520175135054,33519.95256724855,11598.551752462598,17018.886365542214,2682.7405634048014
2024-02-29,515984.557540062,0.0,243872.96459379556,235741.95794813446,36369.634998131995,91682.30371114159,73273.00306731489,37033.876797278084,12667.213176201902,17613.39359588079,3472.167600317205
2024-03-29,519774.70379908057,0.0,234166.07582489066,249193.50386136578,36415.12411282416,94405.01880061888,78336.56395142611,39150.93531711622,13651.17687838464,20158.30925079981,3491.499663020139
2024-04-30,522948.068102017,-0.0020940620905560703,224364.08964480535,262055.88105618273,36528.09740102892,98005.31664135012,84380.67450620876,41768.926971601264,13375.978458078383,20787.519059642556,3737.465419301569
2024-05-31,525689.1892999653,-0.006621683929800559,214430.37530556368,274497.556210006,36761.25778439568,101659.69062230288,87837.97058758132,45060.84597642991,14230.849318403567,21803.121398629308,3905.078306658978
2024-06-28,524186.06770066475,-0.009462085508441076,204643.50470527573,282720.91630338697,36821.64669200202,105486.96043153999,89236.83289705632,45331.383784087266,16007.52644443459,22395.899531545263,4262.313214723593
2024-07-31,524776.0365094015,-0.008347240018585556,194910.75150121938,292993.1947077577,36872.09030042452,108762.73301720168,94417.77108961146,45256.211221620324,16165.471211073755,23664.538085453012,4726.470082797397
2024-08-30,520922.8900086313,-0.01562840969149437,185153.64391625058,298848.84072177205,36920.4053706087,111506.87573898981,95483.97128863631,45916.49516847076,16765.146719988606,24685.729914408097,4490.621891278365
2024-09-30,554676.8340505349,0.0,175352.43637871963,342362.21470443206,36962.18296738321,114144.63167763276,126661.59812618807,53375.20060143063,16491.05137964797,26167.547284532677,5522.185634999921
2024-10-31,547756.3314161266,-0.024345796577027845,163191.03613425087,345224.2408578041,39341.054424071604,119408.95356252835,120275.73011510193,51358.786491125975,17963.73250919074,29136.063897751665,7080.974282105368
2024-11-29,552074.3187133347,-0.016654671499647944,153383.23490093785,359300.82378763944,39390.26002475746,124403.2268101688,124890.38639801889,54029.85552538746,20228.25415426448,28276.73381392481,7472.367085875045
2024-12-31,556389.5940591469,-0.00896837690368335,143571.71204244453,373376.00725673017,39441.8747599722,130441.23445596122,128175.52022799714,57169.06394472938,20506.588866093694,29362.242011136157,7721.357750812522
2025-01-27,553033.9526282563,-0.014945387993202885,133715.49286289435,379834.3044659537,39484.15529940824,134313.68251626682,127868.11596496776,57152.36297954013,21228.60824457498,31589.909273765472,7681.625486838594
2025-02-28,555052.0740151064,-0.011350744716314365,123848.70810383641,391676.88474892057,39526.48116234946,137005.90715705877,134837.1666458164,58052.72151905049,20039.867567983987,32822.537142880494,8918.684716130452
2025-03-31,557511.0769395042,-0.006970810789826309,113991.69967688169,403943.45857814606,39575.918684476484,140775.6190525422,137743.99627407832,61026.9055224933,19264.159548920503,36564.17758788171,8568.600592229943
2025-04-30,556646.4918238277,-0.00851079500168539,104122.36265254408,412898.7111309797,39625.41804030392,146212.7742932522,136830.74930078856,62192.294306822674,19835.04981172141,38957.63986866289,8870.203549732
2025-05-30,562996.5993571604,-0.005189837447018508,94229.46348376549,429096.8793563654,39670.256517029506,150122.55850115593,144059.0970793267,66367.02636095532,21611.91383706921,38425.75936182262,8510.524216035627
2025-06-30,570826.7853633679,-0.0025060156909479936,84330.38928856791,446778.88634691783,39717.509727882134,154970.82163763823,151859.10898660382,68794.80770739444,23286.969055530895,38682.37409990428,9184.804859846181
2025-07-31,578741.8201201214,-0.007036879241112515,74107.13543527578,464537.08580583235,40097.59887901323,160027.88921336536,161086.42111185164,69024.77854820334,25066.51716791596,39656.93474619091,9674.545018305156
2025-08-29,601087.9249622886,0.0,63861.900433040035,496752.2612204728,40473.763308775786,165522.2449444132,180874.97287793673,70663.04594401168,25554.033801524998,41290.2724963444,12847.691156241837
2025-09-30,611714.8849414509,0.0,52224.90395984608,517255.01317939616,42234.96780220859,173002.22715686288,186529.84027474586,68581.9987954518,27356.927710820157,47023.020715173676,14760.998526341862
2025-10-31,619854.5124318665,-0.007210451201200785,41234.97068463796,535308.5388082451,43311.00293898334,181304.93170899517,187135.71892440398,73610.50488028194,29956.614180286124,49588.732961894384,13712.03615238351
2025-11-28,616660.1531827983,-0.017448625641731996,31101.057842261176,542024.7882396118,43534.30710092539,189458.2549912973,182248.29781716177,76025.23166525576,30250.0187077949,51128.16030992684,12914.824748175164
2025-12-31,621608.9282676073,-0.009563527608605682,21130.561136197193,556884.4204505738,43593.94668083644,197823.05918708257,187505.39167880363,75433.3002271532,30097.23092363423,52447.6694653832,13577.76896851684
2026-01-30,636779.1734302897,-0.011123692218898973,10846.75602663092,581988.8846250928,43943.53277856602,205853.20461011323,190785.72358506345,77076.5000460562,30460.062259872975,62078.958514611724,15734.435609375207
2026-02-27,636752.9519646337,-0.011164412435929472,848.05762859042,591924.7277751528,43980.16656089052,212537.71893356703,191737.79615113724,79867.63204842558,30656.887715900306,61650.39998548914,15474.292940633539
2026-03-31,616117.0690536097,-0.04321058566569891,0.0,571237.4350631861,44879.633990423696,213115.5882010326,181105.98607884147,81640.67285312935,27793.57546372054,54691.962815261955,12889.649651200169
2026-04-30,637465.7316129059,-0.01005751237346686,0.0,592529.9646748175,44935.76693808836,213675.28509255298,195755.15949906592,80959.19812146721,31068.696417162646,54573.545326951775,16498.080217616884
2026-05-26,646603.9461363379,-0.0033366026931519466,0.0,601628.0412562812,44975.90488005672,214216.7804591459,201760.91480708044,78778.47898014821,32481.493691196494,53310.42545164313,21079.94786706695
