date,total,drawdown,rebalance,trade_cost,应急现金/灵活资金,固收/债券,黄金
2022-09-19,100111.54726012386,-0.004407539150257045,False,0.0,13978.917104591257,70389.89091804257,15742.739237490032
2022-09-20,100247.19263119905,-0.003058568801804329,False,0.0,13979.74918299034,70469.99808666432,15797.445361544394
2022-09-21,100283.52937040509,-0.0026972060559925515,False,0.0,13980.581310917898,70484.4618809988,15818.48617848838
2022-09-22,100257.443668185,-0.002956623967083294,False,0.0,13981.41348837688,70482.79298165251,15793.237198155599
2022-09-23,100259.16460046178,-0.002939509585702882,False,0.0,13982.245715370236,70412.14290932639,15864.775975765147
2022-09-26,99948.9167875805,-0.006024871783703367,False,0.0,13983.077991900913,70244.14037513355,15721.698420546047
2022-09-27,99992.94334710359,-0.005587035071176638,False,0.0,13983.910317971859,70245.25297469772,15763.780054434017
2022-09-28,99990.89564903165,-0.00560739908330421,False,0.0,13984.742693586024,70221.33208406762,15784.820871378
2022-09-29,99990.822560624,-0.005608125935197106,False,0.0,13985.575118746356,70098.38983222452,15906.857609653116
2022-09-30,100057.684304581,-0.004943197162995849,False,0.0,13986.407593455804,70151.79461130568,15919.482099819508
2022-10-10,100288.9601945801,-0.002643197425092114,False,0.0,13987.24011771732,70268.61756554575,16033.10251131703
2022-10-11,100350.14212446038,-0.002034753446389259,False,0.0,13988.072691533851,70362.63222871989,15999.437204206653
2022-10-12,100344.10200089845,-0.0020948214569778134,False,0.0,13988.905314908347,70313.67784789548,16041.518838094624
2022-10-13,100414.37357182015,-0.0013959825304359352,False,0.0,13989.737987843757,70362.07592893777,16062.559655038613
2022-10-14,100560.81317713611,0.0,False,0.0,13990.570710343032,70524.51546530965,16045.727001483423
2022-10-17,100370.35905834979,-0.0018939198358592924,False,0.0,13991.403482409123,70421.60000562198,15957.355570318681
2022-10-18,100402.7038180138,-0.001572276059898181,False,0.0,13992.23630404498,70411.03030976217,15999.437204206655
2022-10-19,100417.39909845809,-0.0014261427900885693,False,0.0,13993.069175253553,70462.76618949705,15961.563733707482
2022-10-20,100292.41809785538,-0.002668982785649865,False,0.0,13993.902096037795,70412.69920910845,15885.816792709133
2022-10-21,100284.7629113945,-0.002745107731531027,False,0.0,13994.735066400654,70421.0437058399,15868.984139153945
2022-10-24,100553.54521320257,-7.227431545064888e-05,False,0.0,13995.568086345082,70482.79298165248,16075.184145205005
2022-10-25,100540.44404344965,-0.0002025553796047852,False,0.0,13996.401155874031,70439.40159864904,16104.641288926585
2022-10-26,100531.99047109226,-0.00028661965961906954,False,0.0,13997.234274990453,70442.73939734162,16092.016798760194
2022-10-27,100553.9897762482,-6.78534776353823e-05,False,0.0,13998.067443697297,70493.3626775123,16062.559655038616
2022-10-28,100668.13774527409,0.0,False,0.0,13998.900661997517,70594.05293807157,16075.184145205007
2022-10-31,100666.00076885117,-2.1227932400225136e-05,False,0.0,13999.733929894064,70645.78881780646,16020.478021150644
2022-11-01,100606.58330505887,-0.0006114590136848674,False,0.0,14000.56724738989,70572.91354635195,16033.102511317038
2022-11-02,100571.78674137333,-0.0009571151911497155,False,0.0,14001.40061448795,70507.82647184677,16062.559655038616
2022-11-03,100587.2092719162,-0.0008039134841518747,False,0.0,14002.234031191192,70572.91354635195,16012.061694373051
2022-11-04,100514.85340185894,-0.0015226699018016099,False,0.0,14003.067497502572,70503.93237337211,16007.853530984252
2022-11-07,100632.95919288562,-0.0003494507117780543,False,0.0,14003.901013425042,70503.37607359001,16125.68210587057
2022-11-08,100679.38259582449,0.0,False,0.0,14004.734578961556,70519.50876727079,16155.139249592152
2022-11-09,101164.6662151551,0.0,False,0.0,14005.568194115065,70557.89345223538,16601.204568804646
2022-11-10,101030.71333198191,-0.0013241074001895115,False,0.0,14006.401858888525,70507.27017206469,16517.041301028705
2022-11-11,101004.97991278772,-0.0015784790119087733,False,0.0,14007.235573284886,70367.08262697661,16630.661712526227
2022-11-14,100649.21558004181,-0.005095164689389087,False,0.0,14008.069337307106,70174.60290237157,16466.54334036314
2022-11-15,100655.77439219331,-0.005030331656306619,False,0.0,14008.903150958136,70096.1646330961,16550.706608139084
2022-11-16,100634.27603000385,-0.005242840262263404,False,0.0,14009.73701424093,69985.46097645909,16639.078039303826
2022-11-17,100740.39426182974,-0.004193874889311888,False,0.0,14010.570927158446,70073.91264181228,16655.910692859015
2022-11-18,100677.03825930547,-0.004820141004691858,False,0.0,14011.404889713633,70034.9716570656,16630.66171252623
2022-11-21,100743.49730520134,-0.004163201695916552,False,0.0,14012.238901909448,70167.92730498643,16563.331098305476
2022-11-22,100757.53890171871,-0.004024402280639383,False,0.0,14013.072963748848,70197.96749321958,16546.498444750287
2022-11-23,100880.75896526568,-0.0028063874523701626,False,0.0,14013.907075234785,70320.35344528059,16546.498444750287
2022-11-24,101033.72354236833,-0.001294351849175146,False,0.0,14014.741236370215,70409.36141041586,16609.620895582244
2022-11-25,100949.87486677254,-0.0021231854600868294,False,0.0,14015.575447158093,70274.18056336665,16660.11885624781
2022-11-28,100831.4905690256,-0.0032933993517154647,False,0.0,14016.409707601377,70142.33751501002,16672.7433464142
2022-11-29,100591.88645789915,-0.0056618558503200855,False,0.0,14017.24401770302,69948.18889105869,16626.453549137434
2022-11-30,100615.5558534575,-0.005427886852606867,False,0.0,14018.078377465978,70000.48107057567,16596.99640541585
2022-12-01,100708.05440742537,-0.004513550282058132,False,0.0,14018.912786893208,70041.64725445074,16647.49436608142
2022-12-02,100827.37231596389,-0.00333410776519405,False,0.0,14019.747245987666,70063.34294595246,16744.282124023754
2022-12-05,100632.379364986,-0.005261588557382679,False,0.0,14020.581754752307,70031.63385837302,16580.163751860666
2022-12-06,100382.4831900756,-0.0077317808118495535,False,0.0,14021.41631319009,69957.64598735432,16403.420889531186
2022-12-07,100341.03901475022,-0.008141451271664435,False,0.0,14022.25092130397,69915.36720391506,16403.420889531186
2022-12-08,100495.84339267848,-0.0066112294687374895,False,0.0,14023.085579096905,70018.83896338483,16453.91885019675
2022-12-09,100494.39941156609,-0.006625503040394554,False,0.0,14023.92028657185,69957.64598735432,16512.833137639907
2022-12-12,100494.2919739836,-0.006626565047382793,False,0.0,14024.755043731766,69969.32828277833,16500.208647473515
2022-12-13,100342.53023571547,-0.00812671074000404,False,0.0,14025.589850579607,69804.10724749595,16512.833137639907
2022-12-14,100654.90290667259,-0.005038946181054493,False,0.0,14026.42470711833,69951.52668975126,16676.951509803
2022-12-15,100574.55319359098,-0.005833192987649172,False,0.0,14027.259613350898,69996.58697210101,16550.706608139084
2022-12-16,100481.83961549496,-0.006749655044656744,False,0.0,14028.094569280263,69978.78537907396,16474.959667140734
2022-12-19,100700.87939165556,-0.004584474410395112,False,0.0,14028.929574909387,70083.36973810791,16588.580078638257
2022-12-20,100712.59820776134,-0.004468635387303133,False,0.0,14029.764630241227,70090.04533549307,16592.78824202705
2022-12-21,100834.40253682646,-0.003264614916301367,False,0.0,14030.599735278742,70051.10435074638,16752.69845080134
2022-12-22,100858.04598263852,-0.0030309024285659625,False,0.0,14031.43489002489,70073.91264181229,16752.69845080134
2022-12-23,100741.15118698559,-0.004186392779360171,False,0.0,14032.270094482628,70095.05203353193,16613.829058971038
2022-12-26,100734.655969215,-0.004250597189986882,False,0.0,14033.105348654919,70066.68074464507,16634.86987591502
2022-12-27,100785.36110394211,-0.0037493833114250474,False,0.0,14033.94065254472,70074.4689415944,16676.95150980299
2022-12-28,100901.73640740644,-0.0025990280755681106,False,0.0,14034.776006154989,70177.38440128206,16689.575999969384
2022-12-29,100916.82011493613,-0.0024499275240216223,False,0.0,14035.611409488689,70216.88168581085,16664.3270196366
2022-12-30,101142.2218709987,-0.0002218595187044592,False,0.0,14036.446862548777,70332.03574070461,16773.739267745324
2023-01-03,101124.31765797327,-0.00039884041228410716,True,2.3647872661519234,14157.404472116259,70787.02236058128,16179.890825275723
2023-01-04,101309.80659018966,0.0,False,0.0,14158.247174763408,70910.7961641713,16240.763251254939
2023-01-05,101269.06699646694,-0.00040212882734569355,False,0.0,14159.08992757143,70873.27197937251,16236.705089522993
2023-01-06,101004.36661985591,-0.0030149102107094317,False,0.0,14159.932730543309,70725.4154900161,16119.018399296507
2023-01-09,101181.39061484743,-0.0012675572056087825,False,0.0,14160.77558368203,70727.09567739515,16293.519353770258
2023-01-10,101132.11251021584,-0.0017539672214814672,False,0.0,14161.618486990583,70685.0909929189,16285.403030306363
2023-01-11,101106.04497242332,-0.0020112723992316006,False,0.0,14162.46144047195,70609.48256086164,16334.100971089736
2023-01-12,101102.14119177773,-0.002049805496638246,False,0.0,14163.30444412912,70629.08474695055,16309.752000698049
2023-01-13,101151.1312883404,-0.001566238325684699,False,0.0,14164.14749796508,70644.76649582169,16342.21729455363
2023-01-16,101187.62567884555,-0.0012060126798815185,False,0.0,14164.990601982816,70587.0800624743,16435.55501438843
2023-01-17,101258.43998289637,-0.0005070250257320774,False,0.0,14165.833756185315,70592.12062461146,16500.48560209959
2023-01-18,101208.06038323315,-0.0010043075826615677,False,0.0,14166.676960575563,70581.47943787747,16459.903984780114
2023-01-19,101273.84338992831,-0.0003549824194890583,False,0.0,14167.52021515655,70597.72124920828,16508.601925563486
2023-01-20,101478.61383931772,0.0,False,0.0,14168.363519931261,70667.7290566687,16642.521262717764
2023-01-30,101459.1663856294,-0.0001916409078972503,False,0.0,14169.206874902686,70667.7290566687,16622.230454058026
2023-01-31,101341.47842468301,-0.001351372564586395,False,0.0,14170.05028007381,70658.76805731376,16512.660087295437
2023-02-01,101459.04449868416,-0.00019284201757574504,False,0.0,14170.893735447624,70686.21111783825,16601.939645398288
2023-02-02,101645.47081222296,0.0,False,0.0,14171.737241027115,70733.81642691133,16739.91714428451
2023-02-03,101452.93650763136,-0.0018941749499816751,False,0.0,14172.580796815271,70759.57930005676,16520.776410759332
2023-02-06,101203.97366933757,-0.004343500397582911,False,0.0,14173.42440281508,70724.8554275564,16305.6938389661
2023-02-07,101182.99321843042,-0.004549908521225832,False,0.0,14174.268059029533,70735.49661429037,16273.228545110518
2023-02-08,101207.91961062887,-0.0043046797668182535,False,0.0,14175.111765461617,70759.57930005675,16273.228545110518
2023-02-09,101250.88744746597,-0.00388195717530726,False,0.0,14175.955522114324,70765.1799246536,16309.75200069805
2023-02-10,101174.7822347555,-0.004630689136528199,False,0.0,14176.799328990639,70793.74311009745,16204.239795667409
2023-02-13,101282.68075975394,-0.0035691708599513428,False,0.0,14177.643186093555,70799.34373469428,16305.693838966103
2023-02-14,101273.59043172932,-0.003658602567552127,False,0.0,14178.48709342606,70801.583984533,16293.519353770258
2023-02-15,101225.03866153718,-0.004136260546842019,False,0.0,14179.331050991144,70804.94435929111,16240.763251254937
2023-02-16,101215.1037580897,-0.004234001285982725,False,0.0,14180.175058791798,70798.22360977491,16236.705089522991
2023-02-17,101187.82529743662,-0.00450236996424358,False,0.0,14181.019116831012,70806.62454667015,16200.181633935461
2023-02-20,101209.07044568221,-0.00429335771730488,False,0.0,14181.863225111776,70753.97867545992,16273.22854511052
2023-02-21,101166.66123470076,-0.004710584482477742,False,0.0,14182.70738363708,70731.0161146129,16252.937736450782
2023-02-22,101230.20494574904,-0.004085434040057567,False,0.0,14183.551592409915,70745.01767610497,16301.635677234155
2023-02-23,101193.40562426549,-0.004447470057889813,False,0.0,14184.395851433272,70743.8975511856,16265.112221646625
2023-02-24,101248.68622343673,-0.003903613074105805,False,0.0,14185.240160710142,70745.57773856464,16317.868324161944
2023-02-27,101193.12949226532,-0.00445018667672159,False,0.0,14186.084520243518,70733.81642691129,16273.228545110518
2023-02-28,101204.18358644364,-0.004341435208604083,False,0.0,14186.928930036389,70723.735302637,16293.519353770256
2023-03-01,101266.88287288343,-0.003724592313994246,False,0.0,14187.773390091748,70728.77586477416,16350.333618017527
2023-03-02,101271.23464687956,-0.0036817790537343464,False,0.0,14188.617900412586,70744.45761364528,16338.159132821684
2023-03-03,101335.6050568293,-0.0030484954510772155,False,0.0,14189.462461001896,70734.93655183066,16411.206043996743
2023-03-06,101495.86559336449,-0.0014718335963522788,False,0.0,14190.30707186267,70784.78211074248,16520.776410759332
