date,total,drawdown,unallocated_cash,invested_total,应急现金/灵活资金,固收/债券,A股宽基,A股红利,美股宽基,黄金,主题仓
2022-07-14,501345.7912315583,0.0,426442.52368565404,39788.49986698369,35114.7676789206,33339.10827644571,3329.988426490285,1445.0754322959397,579.636772868499,884.1904556994082,210.50050318385115
2022-07-15,501341.2972008926,-8.963934163497278e-06,426467.90716920677,39756.53218802246,35116.85784366339,33385.983627903246,3276.091701459939,1423.9794405835903,582.043902323933,878.129374977586,210.3041407741647
2022-07-18,501427.97044516075,0.0,426493.2921636811,39815.73014865887,35118.94813282075,33362.27961495028,3314.233999173722,1452.1074295333894,595.5238272743633,881.2811369529335,210.3041407741647
2022-07-19,501415.0546500082,-2.5758026902744646e-05,426518.67866916704,39775.337434441106,35121.03854640008,33349.49542818913,3295.992030701913,1453.8654288427517,588.3024389080613,879.3415911219504,208.34051667730043
2022-07-20,501494.09920224093,0.0,426544.06668575446,39826.903432077655,35123.12908440879,33363.07862662285,3305.9421953228994,1460.8974260802015,606.1151968782726,879.5840343508233,211.28595282259687
2022-07-21,501479.3919361201,-2.9326897652892647e-05,426569.45621353335,39784.71597573249,35125.219746854294,33382.52124398876,3268.6290779941987,1438.0434350584896,607.5594745515331,872.5531807135097,215.40956342601186
2022-07-22,501543.1977559231,0.0,426594.84725259367,39821.039969585436,35127.310533743985,33407.29060583849,3271.116619149445,1432.7694371304024,611.8923075713142,884.9177853860267,213.0532145097747
2022-07-25,501558.2140552198,0.0,426620.2398030254,39808.57280710912,35129.40144508528,33412.88368754649,3256.1913722179647,1434.5274364397649,606.5966227693596,888.0695473613741,210.3041407741647
2022-07-26,501661.1747824532,0.0,426645.63386491843,39884.04843664921,35131.49248088558,33446.974852242885,3280.2376033853493,1450.349430224027,606.1151968782727,889.2817635057387,211.0895904129104
2022-07-27,501663.6643144195,0.0,426671.02943836275,39859.05123490445,35133.5836411523,33449.3718872606,3260.3372741433755,1445.0754322959394,608.0409004426199,887.0997744458826,209.12596631604615
2022-07-28,501711.2896840149,0.0,426696.4265234484,39879.18823467369,35135.67492589284,33442.44711943164,3262.8248152986225,1448.5914309146644,614.7808629178351,896.3126171430522,214.23138896789328
2022-07-29,501766.2480679037,0.0,426721.82512026525,39906.65661252382,35137.76633511462,33511.428460497,3213.90317257877,1436.2854357491271,627.7793619771785,908.9196650444421,208.34051667730043
2022-08-01,501843.1764104291,0.0,416747.22522890335,49956.093312700745,35139.85786882504,36885.55951903173,6673.570087468832,2928.1387710742056,1202.628087032905,1824.9768738063626,441.2199742866883
2022-08-02,501752.7011921422,-0.00018028583936136044,416772.03161135747,49838.720053753255,35141.94952703152,36939.12362354658,6551.889687825717,2870.794560135176,1198.95594020227,1839.6039927521795,438.3522492913245
2022-08-03,501659.32784384786,-0.00036634665015533585,416796.83947038196,49718.44706372442,35144.04130974146,36926.24482246104,6474.768307770222,2831.370415114593,1198.95594020227,1832.7780039107984,454.3295742654943
2022-08-04,501821.97349105444,-4.225009001090907e-05,416821.64880606474,49854.19146802742,35146.13321696228,36970.73522621107,6527.89636958623,2849.29048103304,1210.8904174018332,1833.2655745423253,462.1133992529103
2022-08-05,501971.8075846685,0.0,416846.4596184937,49977.122717473474,35148.22524870138,36915.12222152353,6639.293918555279,2863.6265337677974,1215.480600940127,1847.892693488142,495.7067491986006
2022-08-08,502000.4544066177,0.0,416871.2719077567,49978.86509389482,35150.31740496618,36922.43972214031,6615.300600315791,2892.298639237312,1219.152747770762,1837.6537102260706,492.0196742045615
2022-08-09,502032.8414571117,0.0,416896.08567394165,49984.346097405956,35152.4096857641,36897.267520018584,6627.297259435535,2906.634691972069,1212.726490817151,1845.9424109620331,494.4777242005876
2022-08-10,501977.7999337469,-0.00010963729624746676,416920.9009171365,49902.396925507855,35154.502091102535,36912.780621326165,6550.17587938004,2895.882652421001,1205.3821971558814,1849.8429760142508,488.33259921052223
2022-08-11,502200.0701205252,0.0,416945.7176374292,50097.75786210707,35156.59462098891,36902.536120462675,6700.9910225996755,2924.5547578905152,1232.005261677984,1841.5542752782883,496.11642419793833
2022-08-12,502251.96634463686,0.0,416970.5358349076,50122.743234298636,35158.68727543063,36903.41422053669,6702.704831045354,2949.6428501763407,1232.005261677984,1850.3305466457782,484.6455242164831
2022-08-15,502409.980980015,0.0,416995.3555096597,50253.84541592018,35160.78005443512,37035.12923163876,6685.566746588576,2949.6428501763407,1249.4479591234995,1852.280829171887,481.77779922111927
2022-08-16,502484.3655856347,0.0,417020.17666177335,50301.31596585155,35162.872958009786,37087.522536054916,6668.428662131801,2956.810876543719,1260.4643996154039,1850.8181172773052,477.2713742284048
2022-08-17,502591.35477770015,0.0,417044.9992913366,50381.38950020156,35164.965986162046,37096.30353679506,6738.694808404584,2963.978902911098,1261.3824363230626,1842.5294165413425,478.5003992264178
2022-08-18,502548.45512132,-8.535693257027965e-05,417069.82339843723,50311.572583983405,35167.05913889932,37121.475738916786,6675.283895914511,2942.474823808962,1253.1201059541343,1833.7531451738528,485.4648742151585
2022-08-19,502567.8182861065,-4.68302754711436e-05,417094.64898316335,50304.01688671416,35169.152416229015,37147.526041112535,6623.869642544181,2971.146929278477,1254.9561793694518,1833.7531451738528,472.76494923569015
2022-08-22,502640.76042743155,0.0,417119.4760456028,50350.03856367018,35171.24581815855,37149.28224126057,6670.142470577478,2985.482982013234,1242.1036654622299,1829.8525801216351,473.17462423502786
2022-08-23,502608.7684957007,-6.364770677114162e-05,417144.30458584364,50291.12456516167,35173.33934469535,37122.93923904015,6646.149152337991,2992.651008380613,1225.5790047243731,1834.728286436907,469.077874241651
2022-08-24,502459.8487418308,-0.00035992243336357976,417169.1346039737,50115.281142010295,35175.432995846815,37114.158238300006,6514.185902020811,2967.5629160947874,1225.5790047243731,1846.42998159356,447.3650992767536
2022-08-25,502599.1541202633,-8.27754341548026e-05,417193.9661000811,50227.6612485618,35177.526771620374,37089.57143622762,6575.883006065206,3024.9071270338172,1240.2675920469123,1851.305687908832,445.72639927940287
2022-08-26,502598.4781953057,-8.412018175751879e-05,417218.7990742537,50200.05844902851,35179.62067202345,37072.30213477201,6565.60015539114,3024.9071270338172,1246.6938490005234,1851.7932585403591,438.76192429066214
