date,total,drawdown,rebalance,trade_cost,应急现金/灵活资金,固收/债券,A股宽基,A股红利,美股宽基,黄金,主题仓
2023-05-18,102784.19803320416,-0.015123252378153929,False,0.0,6917.6210050164755,34848.69188872923,30023.82129392144,14863.234971108832,5399.013893724895,8570.722790889276,2161.0921898140077
2023-05-19,102624.34371144621,-0.01665497425290552,False,0.0,6918.032768171536,34872.103603872456,29974.73602750086,14630.025217378045,5481.5916735997835,8541.134564913826,2206.7198560096967
2023-05-22,102788.23316687909,-0.015084587783731562,False,0.0,6918.444555836308,34915.932512454565,30138.35358223613,14598.930583547273,5457.998022206958,8574.667887686006,2183.906022911852
2023-05-23,102148.97902583209,-0.021209912020194177,False,0.0,6918.85636801225,35004.407017356345,29672.043551240615,14396.81546364726,5481.5916735997835,8541.134564913826,2134.130387062009
2023-05-24,101491.22601186903,-0.02751249219814267,False,0.0,6919.268204700822,34983.44536542577,29238.457031192156,14194.700343747243,5430.472095581995,8584.530629677822,2140.3523415432396
2023-05-25,101265.70093996824,-0.029673470282041148,False,0.0,6919.6800659034825,34939.07199835196,29164.829131561288,14101.41644225493,5426.539820349857,8550.997306905641,2163.1661746410837
2023-05-26,101524.75331914918,-0.027191234008825282,False,0.0,6920.091951621691,34937.43862287685,29205.733520245107,14334.626195985717,5422.607545117719,8501.683596946554,2202.5718863555426
2023-05-29,101557.74855137705,-0.026875074155215062,False,0.0,6920.503861856906,34945.60550025239,29074.839476456895,14365.720829816488,5532.711251617572,8509.57379054001,2208.7938408367727
2023-05-30,101741.1413679781,-0.02511780675217623,False,0.0,6920.915796610588,34974.46180031266,29107.562987403948,14474.552048224188,5556.304903010398,8481.95811296292,2225.385719453387
2023-05-31,101442.72727907977,-0.027977206377240882,False,0.0,6921.3277558841955,34992.97338903057,28813.051388880467,14350.173512901101,5513.049875456885,8610.173758856547,2241.977598070001
2023-06-01,101591.75329211618,-0.02654924120517299,False,0.0,6921.7397396791885,35022.37414758254,28878.498410774573,14412.362780562646,5520.91442592116,8604.256113661457,2231.607673934617
2023-06-02,102032.32236092964,-0.022327714551283906,False,0.0,6922.151747997026,34973.917341820954,29312.084930823035,14412.362780562646,5552.37262777826,8629.899242840182,2229.5336891075403
2023-06-05,102107.27363159318,-0.021609532524340502,False,0.0,6922.563780839168,35009.57937302751,29164.829131561295,14598.930583547273,5654.611783813836,8529.299274523644,2227.459704280464
2023-06-06,101675.09310177041,-0.02575068031497496,False,0.0,6922.975838207075,35022.91860607424,28862.136655301052,14474.552048224188,5634.950407653148,8594.39337166964,2163.1661746410837
2023-06-07,101818.64160168731,-0.024375200596988722,False,0.0,6923.387920102206,35056.94726180569,28763.966122459893,14630.025217378045,5662.476334278112,8606.22866205982,2175.6100836035444
2023-06-08,102017.70333790657,-0.02246779382537345,False,0.0,6923.800026526022,35040.61350705459,29025.75421003632,14707.761801954974,5634.950407653148,8556.914952100733,2127.9084325807785
2023-06-09,102350.09139550109,-0.019282856107551427,False,0.0,6924.212157479981,35061.575158985164,29156.648253824533,14754.40375270113,5666.408609510248,8629.899242840182,2156.944220159853
2023-06-12,102316.55112186901,-0.019604238540271712,False,0.0,6924.624312965545,35081.72012317818,29189.37176477159,14614.477900462658,5713.595912295898,8635.816888035273,2156.944220159853
2023-06-13,102711.43760563756,-0.015820441777191774,False,0.0,6925.0364929841735,35121.465593072506,29426.617219137723,14583.383266631887,5784.376866474374,8655.542372018906,2215.0157953180033
2023-06-14,102595.08006668637,-0.01693537808760126,False,0.0,6925.4486975373275,35147.32737142841,29426.617219137723,14474.552048224188,5804.038242635062,8606.22866205982,2210.8678256638495
2023-06-15,102968.36854950417,-0.013358533067479361,False,0.0,6925.860926626467,35052.59159387206,29958.374272027337,14505.64668205496,5788.309141706512,8539.162016515462,2198.423916701389
2023-06-16,103322.62492280573,-0.009964053454486366,False,0.0,6926.273180253052,34976.63963427946,30261.06674828758,14505.64668205496,5835.4964444921625,8598.338468466365,2219.163764972157
2023-06-19,102876.84960457675,-0.014235466317440437,False,0.0,6926.685458418543,34986.984345621815,30015.64041618468,14272.436928324172,5835.4964444921625,8612.146307254909,2227.4597042804644
2023-06-20,102748.92312594595,-0.015461256046012561,False,0.0,6927.097761124401,34994.062306013955,29958.374272027337,14179.153026831858,5847.293270188576,8627.926694441818,2215.0157953180037
2023-06-21,102125.20564785323,-0.02143770819540236,False,0.0,6927.510088372086,35031.62994194148,29508.425996505353,14085.869125339545,5847.293270188576,8592.420823271275,2132.0564022349326
2023-06-26,101445.34616220133,-0.02795211227580785,False,0.0,6927.922440163061,35053.13605236375,29148.467376087763,13790.470103947215,5827.631894027887,8588.47572647455,2109.2425691370877
