date,action,category,amount,cost,capacity_ok_5pct
2022-12-01,BUY,主题仓,187.36561497312954,0.41220435294088503,True
2023-01-03,BUY,固收/债券,2718.4063719807623,5.980494018357677,True
2023-01-03,BUY,A股宽基,4100.117251558693,9.020257953429125,True
2023-01-03,BUY,A股红利,1776.6820908060693,3.9087005997733524,True
2023-01-03,BUY,美股宽基,470.3232079460777,1.034711057481371,True
2023-01-03,BUY,黄金,745.1165121970894,1.6392563268335967,True
2023-01-03,BUY,主题仓,189.35456551130935,0.4165800441248806,True
2023-02-01,MOVE_TO_EMERGENCY,应急现金/灵活资金,144.95205634897866,0.0,True
2023-02-01,BUY,固收/债券,3430.285058363354,7.546627128399379,True
2023-02-01,BUY,A股宽基,3345.066525851837,7.359146356874042,True
2023-02-01,BUY,A股红利,1465.5793438366932,3.2242745564407254,True
2023-02-01,BUY,美股宽基,589.1760278522006,1.2961872612748415,True
2023-02-01,BUY,黄金,934.0897139519388,2.0549973706942657,True
2023-02-01,BUY,主题仓,235.80333014397638,0.518767326316748,True
2023-03-01,BUY,固收/债券,3427.6855821402496,7.54090828070855,True
2023-03-01,BUY,A股宽基,3359.0851363338393,7.389987299934447,True
2023-03-01,BUY,A股红利,1451.209800592617,3.192661561303758,True
2023-03-01,BUY,美股宽基,588.7253356212902,1.2951957383668387,True
2023-03-01,BUY,黄金,936.4879354766192,2.060273458048562,True
2023-03-01,BUY,主题仓,236.8062098353851,0.5209736616378472,True
2023-04-03,MOVE_TO_EMERGENCY,应急现金/灵活资金,30.380459254418383,0.0,True
2023-04-03,BUY,固收/债券,3431.973770520621,7.550342295145367,True
2023-04-03,BUY,A股宽基,3378.320342863752,7.432304754300255,True
2023-04-03,BUY,A股红利,1447.1437719570165,3.1837162983054363,True
2023-04-03,BUY,美股宽基,586.4588776657748,1.2902095308647046,True
2023-04-03,BUY,黄金,928.106421746329,2.041834127841924,True
2023-04-03,BUY,主题仓,227.99681524650666,0.5015929935423147,True
2023-05-04,MOVE_TO_EMERGENCY,应急现金/灵活资金,111.97187581795151,0.0,True
2023-05-04,BUY,固收/债券,2773.2551411860736,6.1011613106093625,True
2023-05-04,BUY,A股宽基,4124.02652405761,9.072858352926742,True
2023-05-04,BUY,A股红利,1695.818596643373,3.730800912615421,True
2023-05-04,BUY,美股宽基,474.4234310673585,1.0437315483481888,True
2023-05-04,BUY,黄金,742.6836094579364,1.6339039408074603,True
2023-05-04,BUY,主题仓,189.7926975876482,0.4175439346928261,True
2023-06-01,BUY,固收/债券,2746.2686707759017,6.041791075706984,True
2023-06-01,BUY,A股宽基,4144.450069471276,9.117790152836807,True
2023-06-01,BUY,A股红利,1714.6706296159032,3.772275385154987,True
2023-06-01,BUY,美股宽基,464.65385048037945,1.0222384710568349,True
2023-06-01,BUY,黄金,741.6951843806885,1.6317294056375147,True
2023-06-01,BUY,主题仓,188.2615952758497,0.41417550960686933,True
2023-07-03,BUY,固收/债券,2782.4619410941295,6.121416270407085,True
2023-07-03,BUY,A股宽基,4094.152557633659,9.00713562679405,True
2023-07-03,BUY,A股红利,1720.8720231183938,3.785918450860467,True
2023-07-03,BUY,美股宽基,456.5069518591887,1.0043152940902151,True
2023-07-03,BUY,黄金,751.8298702020328,1.6540257144444723,True
2023-07-03,BUY,主题仓,194.17665609259677,0.42718864340371293,True
2023-08-01,MOVE_TO_EMERGENCY,应急现金/灵活资金,129.23891263017867,0.0,True
2023-08-01,BUY,固收/债券,3510.264482998277,7.7225818625962095,True
2023-08-01,BUY,A股宽基,3338.79474583,7.345348440826,True
2023-08-01,BUY,A股红利,1392.1432734259379,3.0627152015370633,True
