date,total,drawdown,rebalance,trade_cost,应急现金/灵活资金,固收/债券,A股宽基,A股红利,美股宽基,黄金,主题仓
2024-05-31,106458.22914654946,-0.012734244832027009,False,0.0,7040.956145948297,35743.55695342606,31873.963831407462,15249.56649833822,5622.6159530276145,9161.288653095113,1766.2811113066955
2024-06-28,105917.77211793188,-0.01774630186858983,False,0.0,7048.923399390387,35979.71662425795,30975.706173743944,14884.139098378042,6132.91424649553,9082.415496059291,1813.9570796067476
2024-07-31,106185.92135165242,-0.015259556054300627,False,0.0,7445.985763048751,37455.63578942732,31937.41512748478,13118.373976553943,5260.29446844627,8718.283253915592,2249.932972775767
2024-08-30,104856.38949331368,-0.02758928654733528,False,0.0,7455.742555294624,37490.043231110874,30813.74507750351,12849.344822737898,5341.305163545543,8856.210472428607,2049.9981706926123
2024-09-30,115070.5909476495,0.0,False,0.0,7464.179163804278,37506.41451384743,38960.352939867684,14437.89792146122,5152.2802083139,9152.914372718233,2396.5518276367475
2024-10-31,113287.58513855569,-0.033322970109672334,False,0.0,7472.180546178048,37667.35254752864,36422.408516634125,13617.999547926604,5389.911580605108,9788.021099824668,2929.7112998584907
2024-11-29,114453.65958391377,-0.023372917947371175,False,0.0,7481.526333615377,37976.74204331231,36713.01283990514,13899.839613829128,5892.177890220616,9499.336223867196,2991.024639163992
2024-12-31,115593.85373132788,-0.013643701011794684,False,0.0,7491.32969618442,38442.07494414573,36916.435866194865,14399.46518520178,5838.170760154431,9507.355248199347,2999.022031247317
2025-01-27,114615.46656027994,-0.021992227493621286,False,0.0,8005.421550771275,40011.12472998076,34255.71406370992,14798.21644902848,5746.39292634909,9483.861597261975,2314.7352431784593
2025-02-28,115142.19743253573,-0.017497660551259342,False,0.0,8014.003129198752,39653.15246717313,35062.05798241736,14622.8501647647,5317.245185037044,9853.918757297035,2618.9697466476873
2025-03-31,115812.60991733475,-0.011777065935227204,False,0.0,8024.026598158677,39633.84156410702,34969.374773370546,15000.562161640542,4990.1508700126205,10722.482670106585,2472.171279938759
2025-04-30,115715.6323763902,-0.012604570212343513,False,0.0,8034.062603915551,39949.73335157654,33875.71290661788,14960.093019118134,4971.8335883712525,11424.367944718517,2499.828962072325
2025-05-30,117168.7428807922,-0.006108916532942987,False,0.0,8043.153615364593,39890.07130777527,34737.66675075346,15634.57872782499,5243.976058471575,11268.393439249197,2350.9029813531224
2025-06-30,119004.10551186779,-0.0029839969089711094,False,0.0,8052.734214712212,40035.62363685569,35766.45037117331,15998.801010526688,5500.418001450723,11184.289539241234,2465.788737907937
2025-07-31,120860.03255894898,-0.007609634082348049,False,0.0,8362.425561506414,41661.8492182658,37338.58044742627,15289.621416343303,6267.0269675319305,9483.905768903289,2456.62317897198
2025-08-29,126005.37463948742,0.0,False,0.0,8372.884817847364,41612.26512278059,41468.790486997714,15471.023704333815,6247.10453847983,9659.390283810888,3173.915685237218
2025-09-30,128525.95621353229,0.0,False,0.0,8383.856165398382,41711.43331375106,42765.26897475558,14758.371858656801,6500.40399357081,10760.039483929871,3646.5824234698
2025-10-31,130318.9896194529,-0.007997723488960884,False,0.0,8392.34387041784,41910.37071503119,42904.17738415822,15393.279866623596,6984.234413407518,11347.138412481032,3387.444957333515
2025-11-28,129548.0220893809,-0.018738408808049112,False,0.0,8402.340407603991,41861.68814855478,41783.649548310364,15600.596767184183,7009.848965045927,11699.397769611729,3190.5004830699377
2025-12-31,130733.7312254191,-0.009757254061302456,False,0.0,8413.851146732502,41928.46139714156,42876.39570227771,15237.792191203156,6921.621064958057,12001.334361438037,3354.2753616680693
2026-01-30,133873.03046780027,-0.010610509547341218,False,0.0,9248.301786223325,46342.993520000695,39506.918798673905,17082.875831708294,6520.928682992988,12240.96597769485,2930.0458705061938
2026-02-27,133873.80843068432,-0.010604760007656089,False,0.0,9256.011686931919,46432.128999019566,39624.32420372197,17141.378831131962,6381.901093195678,12156.461171236062,2881.602445447158
2026-03-31,129744.5215326165,-0.041122281316735676,False,0.0,9268.140233229027,46557.21689243822,37427.16590925104,17521.648327385745,5785.686621564914,10784.369971628885,2400.2935771186735
2026-04-30,134089.88676837782,-0.00900783166681407,False,0.0,9279.732307058588,46679.488237263344,40454.548139419,17375.390828826603,6467.456533070944,10761.019959317908,3072.250763421427
2026-05-26,135887.84897980717,-0.0035153009497943533,False,0.0,9288.021235504737,46797.78327819173,41695.69099278426,16907.36683343733,6761.553357642174,10511.95316133411,3925.480120912831
